Parafia	url	niedzielne	powszednie	debug_url
Warszawa. Bazylika archikatedralna św. Jana Chrzciciela na Starym Mieście | Archidiecezja Warszawska	http://www.katedra.mkw.pl	8:00, 9:30, 11:00 (suma), 12:30, 18:00, 19:00, 21:00	7:00, 7:30, 8:00, 19:00	http://archwwa.pl/parafie/warszawa-bazylika-archikatedralna-sw-jana-chrzciciela/
Warszawa. Opatrzności Bożej w Wilanowie | Archidiecezja Warszawska	http://parafiaopatrznoscibozej.pl/	8:00 (w Panteonie Wielkich Polaków), 9:00, 10:30 (dla dzieci), 12:00 (suma), 19:00, 20:30 (w Panteonie Wielkich Polaków)	7:00, 12:00, 18:00 odprawiane są w Panteonie Wielkich Polaków, z wyjątkiem Mszy w sobotę o godz. 12, która odprawiana jest w górnej świątyni	http://archwwa.pl/parafie/warszawa-opatrznosci-bozej-w-wilanowie/
Warszawa. Św. Stanisława Kostki na Żoliborzu | Archidiecezja Warszawska	http://www.popieluszko.net.pl	7:00, 8:30, 10:00, 11:30 (dla dzieci), 13:00, 18:00, 21:00	6:30 (poza wakacjami), 7:00, 8:00, 9:00, 15:00 (poza wakacjami i poza sobotą), 18:00	http://archwwa.pl/parafie/sw-stanislawa-kostki-na-zoliborzu/
Niepokalanów. Niepokalanego Poczęcia NMP | Archidiecezja Warszawska	http://www.parafia.niepokalanow.pl	6:00, 7:00, 8:30, 10:00, 11:30, 13:00, 16:00, 18:00 (od 1 X do 30 IV), 19:00 (od 1 V do 30 IX)	6:00, 7:00, 8:00, 9:00 (w sobotę), 10:00 (w sobotę), 11:00, 18:00, sobota g. 18.00 – kaplica św. Maksymiliana	http://archwwa.pl/parafie/niepokalanow-niepokalanego-poczecia-nmp/
Warszawa. Św. Andrzeja Boboli | Archidiecezja Warszawska	http://www.rakowiecka.jezuici.pl	7:00, 8:30, 10:00, 11:30,13:00,17:00, 19:30, 21:00	7:00, 7:30, 8:00, 8:30, 9:00, 12:00, 17:00 i 19:00	http://archwwa.pl/parafie/warszawa-sw-andrzeja-boboli-sanktuarium/
Lewiczyn. Św. Wojciecha BM i św. Marcina | Archidiecezja Warszawska	http://www.sanktuarium-lewiczyn.pl	9:00, 11:30, 17:00 (od października do Wielkanocy - godz. 16:00)	7:30 (poniedziałek, wtorek, w okresie letnim, od listopada do Wielkanocy), 8:00 (poniedziałek, wtorek, w okresie letnim, od listopada do Wielkanocy), 16:00 (od środy do soboty, od listopada do Wielkanocy), 16:30 (w październiku; od środy do soboty, od listopada do Wielkanocy), 17:00 (w październiku), 17:30 (w maju i czerwcu; od środy do soboty, w okresie letnim), 18:00 (w maju i czerwcu; od środy do soboty, w okresie letnim)	http://archwwa.pl/parafie/lewiczyn-sw-wojciecha-bm-i-sw-marcina/
Warszawa. Świętego Krzyża na Trakcie Królewskim | Archidiecezja Warszawska	http://www.swkrzyz.pl	6:00, 7:30, 9:00 (radiowa), 10:30 (dla dzieci), 10:30 (oprócz wakacji, dla przedszkolaków w dolnym kościele), 11:45, 12:15 (dla bierzmowanych w dolnym kościele), 13:00, 16:00, 19:00 (dla studentów w dolnym kościele), 19:00	6:00, 7:00, 7:30 (w kaplicy Matki Bożej), 8:00, 8:30 (oprócz wakacji, w kaplicy Matki Bożej), 9:00 (z homilią), 16:30 (oprócz wakacji, w kaplicy Matki Bożej), 17:00 (w kaplicy Matki Bożej), 18:00 (z homilią), 19:00 (w kaplicy Matki Bożej)	http://archwwa.pl/parafie/swietego-krzyza-na-trakcie-krolewskim-bazylika/
Warszawa. Miłosierdzia Bożego i św. Faustyny na Muranowie | Archidiecezja Warszawska	http://www.milosierdzie-faustyna.pl	8.00, 9.30, 11.00 (dla dzieci i rodziców), 12.30, 16.00, 18.00	7:00, 15:00 (w piątek), 18:00	http://archwwa.pl/parafie/warszawa-milosierdzia-bozego-i-sw-faustyny-na-muranowie/
Warszawa. Najświętszego Zbawiciela | Archidiecezja Warszawska	http://www.parafiazbawiciela.org	7:00, 8:30, 10:00, 11:30, 13:00, 15:00 (z koronką do Miłosierdzia, poza wakacjami), 18:30, 20:30 (akademicka)	6:30, 7:00, 7:30, 8:00, 9:00 (poza wakacjami), 15:00 (poza sobotą z koronką do Miłosierdzia), 17:00 (poza wakacjami), 18:30	http://archwwa.pl/parafie/warszawa-najswietszego-zbawiciela/
Warszawa. Św. Dominika | Archidiecezja Warszawska	http://www.sluzew.dominikanie.pl	7:00, 8:00, 9:30 (konwentualna), 11:00 (dla dzieci), 12:30, 14:00, 17:00, 18:30 (młodzieżowa), 20:15 (akademicka)	7:00, 8:00, 12:00, 18:00 (konwentualna), 19:30	http://archwwa.pl/parafie/warszawa-sw-dominika-na-sluzewie/
