Parafia	Miejscowość	Adres	Diecezja	Dekanat	Województwo
Aniołów Stróżów	Gostomia	Aniołów Stróżów|Gostomia 4|48-217 Gostomia|woj. opolskie	opolska	Biała	opolskie
Apostołów Piotra i Pawła	Kowalów	Apostołów Piotra i Pawła|ul. Radowska 20|69-114 Kowalów	zielonogórsko-gorzowska	Rzepin	
Błogosławionego Jerzego Matulewicza	Kielce	Błogosławionego Jerzego Matulewicza|ul. Kazimierza Wielkiego 79|25-633 Kielce|woj. świętokrzyskie	kielecka	Kielce Śródmieście	świętokrzyskie
Błogosławionego Michała Kozala Biskupa Męczennika	Świnoujście	Błogosławionego Michała Kozala Biskupa Męczennika|ul. Gdańska 20|72-600 Świnoujście|woj. zachodniopomorskie	szczecińsko-kamieńska	Świnoujście	zachodniopomorskie
Błogosławionego Papieża Jana XXIII	Łódź	Błogosławionego Papieża Jana XXIII|Al. Hetmańska 9|92-444 Łódź|woj. łódzkie	łódzka	Łódź-Olechów	łódzkie
Błogosławionego Wincentego Kadłubka	Domaszowice	Błogosławionego Wincentego Kadłubka|Domaszowice 196 a|25-900 Domaszowice|woj. świętokrzyskie	kielecka	Masłów	świętokrzyskie
Błogosławionego Władysława z Gielniowa	Gielniów	Błogosławionego Władysława z Gielniowa|ul. Opoczyńska 2|26-434 Gielniów|woj. mazowieckie	radomska	Drzewica	mazowieckie
Błogosławionej Anieli Salawy	Olsztynek	Błogosławionej Anieli Salawy|ul. Wilcza 11|11-015 Olsztynek|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Olsztynek	warmińsko-mazurskie
Błogosławionej Bolesławy Lament	Nidzica	Błogosławionej Bolesławy Lament|ul. Żwirowa 4|13-100 Nidzica|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Nidzica	warmińsko-mazurskie
Błogosławionej Karoliny Kózkówny	Tychy	Błogosławionej Karoliny Kózkówny|ul. ks. J. Tischnera 50|43-110 Tychy|woj. śląskie	katowicka	Tychy Nowe	śląskie
Błogosławionych Hiacynty i Franciszka	Ostróda	Błogosławionych Hiacynty i Franciszka|ul. Bolesława Chrobrego|14-100 Ostróda|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Ostróda I - Wschód	warmińsko-mazurskie
błog. Anieli Salawy	Suwałki	błog. Anieli Salawy|ul. 23 Października 28|16-400 Suwałki|woj. podlaskie	ełcka	Suwałki - Ducha Świętego	podlaskie
