Parafia	Miejscowość	url	Adres	Diecezja	Dekanat	Województwo	place_id
Aniołów Stróżów	Gostomia		Aniołów Stróżów|Gostomia 4|48-217 Gostomia|woj. opolskie	opolska	Biała	opolskie	ChIJw0EySZmjEUcRgOuvT1cvz5E	OK
Apostołów Piotra i Pawła	Kowalów		Apostołów Piotra i Pawła|ul. Radowska 20|69-114 Kowalów	zielonogórsko-gorzowska	Rzepin		ChIJr2pW8eumB0cR4Qb6j4WgNuA	OK
Błogosławionego Jerzego Matulewicza	Kielce	http://www.matulewicz.kielce.opoka.org.pl/	Błogosławionego Jerzego Matulewicza|ul. Kazimierza Wielkiego 79|25-633 Kielce|woj. świętokrzyskie	kielecka	Kielce Śródmieście	świętokrzyskie	ChIJ52mt7BIoGEcRooIprHLyhgg	OK
Błogosławionego Michała Kozala Biskupa Męczennika	Świnoujście	http://www.michalkozal.swi.pl/	Błogosławionego Michała Kozala Biskupa Męczennika|ul. Gdańska 20|72-600 Świnoujście|woj. zachodniopomorskie	szczecińsko-kamieńska	Świnoujście	zachodniopomorskie	ChIJXZFt5c9YqkcRyOtOFH2KNiw	OK
Błogosławionego Papieża Jana XXIII	Łódź		Błogosławionego Papieża Jana XXIII|Al. Hetmańska 9|92-444 Łódź|woj. łódzkie	łódzka	Łódź-Olechów	łódzkie	ChIJrd6WrNbMG0cRLqr0wmQqQGg	OK
Błogosławionego Wincentego Kadłubka	Domaszowice	http://kadlubek.com.pl/	Błogosławionego Wincentego Kadłubka|Domaszowice 196 a|25-900 Domaszowice|woj. świętokrzyskie	kielecka	Masłów	świętokrzyskie	ChIJJ3zprWonGEcRwx_KkaHYyAE	OK
Błogosławionego Władysława z Gielniowa	Gielniów		Błogosławionego Władysława z Gielniowa|ul. Opoczyńska 2|26-434 Gielniów|woj. mazowieckie	radomska	Drzewica	mazowieckie	ChIJ0eBPkASwGUcRtv99xLQ6PwY	OK
Błogosławionej Anieli Salawy	Olsztynek	http://anielaolsztynek.pl/	Błogosławionej Anieli Salawy|ul. Wilcza 11|11-015 Olsztynek|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Olsztynek	warmińsko-mazurskie	ChIJ0Y-N5y6DHUcRNlU7WBWjKsw	OK
Błogosławionej Bolesławy Lament	Nidzica	http://www.parafia.nidzica.pl/	Błogosławionej Bolesławy Lament|ul. Żwirowa 4|13-100 Nidzica|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Nidzica	warmińsko-mazurskie	ChIJPc2kOfa9HUcR7E7RWpojB5k	OK
Błogosławionej Karoliny Kózkówny	Tychy	http://www.bl-karolina.katowice.opoka.org.pl/	Błogosławionej Karoliny Kózkówny|ul. ks. J. Tischnera 50|43-110 Tychy|woj. śląskie	katowicka	Tychy Nowe	śląskie	ChIJ-TOQnfe3FkcRvwN47DEeGT8	OK
Błogosławionych Hiacynty i Franciszka	Ostróda	http://www.hiacynta.ostroda.pl/	Błogosławionych Hiacynty i Franciszka|ul. Bolesława Chrobrego|14-100 Ostróda|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Ostróda I - Wschód	warmińsko-mazurskie	ChIJm7Nz1dFkHUcR6eQO04UiGOQ	OK
błog. Anieli Salawy	Suwałki	http://anielasalawa.suwalki.pl/	błog. Anieli Salawy|ul. 23 Października 28|16-400 Suwałki|woj. podlaskie	ełcka	Suwałki - Ducha Świętego	podlaskie	ChIJSxV6fTEC4UYRlfiYV6KjRDY	OK
błog. Karoliny Kózkówny	Ełk	http://elk-karolina.diecezja.elk.pl/	błog. Karoliny Kózkówny|ul. Księcia Witolda 2a|19-300 Ełk|woj. warmińsko-mazurskie	ełcka	Ełk - Świętej Rodziny	warmińsko-mazurskie	ChIJJWZR92254UYRItUFZhEHq-o	OK
