Parafia	url	niedzielne	powszednie	debug_url
Parafia pw. św. Andrzeja Ap.	http://www.ilowiec.archpoznan.pl	Msze św. w niedziele: sobota godz. 17.30 (pora letnia 18.30); niedziela: godz. 8.30, godz. 11.00	Msze św. w dni powszednie: godz. 18.30 (pora zimowa godz. 17.30)	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,309/
Parafia pw. św. Katarzyny	http://maczniki.pl	Msze św. w niedziele: Mączniki godz. 8.00, godz. 11.30; Bagrowo godz. 10.00	Msze św. w dni powszednie: Mączniki godz. 18.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,350/
Parafia pw. św. Józefa Oblubieńca NMP	http://www.parjozef.org	Msze św. w niedziele: sobota: 18:30; niedziela: 9:00, 12:00; Chyby 10:30	Msze św. w dni powszednie: 18:30, z wyjątkiem czwartku 8:00 (w okresie wiosenno-letnim), 9:00 (w okresie jesienno-zimowym)	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,282/
Parafia pw. Matki Boskiej Pocieszenia		Msze św. w niedziele: 8:00, 11:00; Stankowo 9:30	Msze św. w dni powszednie: 18:30 - czas letni, 18:00 - czas zimowy	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,125/
Parafia pw. Świętego Krzyża i św. Mikołaja	http://www.parafia-biezdrowo.pl	Msze św. w niedziele: 7.30, 10.30; w Wartosławiu 9.00	Msze św. w dni powszednie: poniedziałek 7.30, wtorek, środa, piątek i sobota o 18.00, w czwartek w Wartosławiu o 16.30	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,398/
Parafia pw. św. Jakuba Ap.		Msze św. w niedziele: 8:00, 11:00	Msze św. w dni powszednie: od Wielkiego Tygodnia do I niedzieli października 19:00, pozostała część roku 18:00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,362/
Parafia pw. św. Michała Archanioła	http://blociszewo.archpoznan.pl	Msze św. w niedziele: godz. 8.00, godz. 10.00, godz. 11.30	Msze św. w dni powszednie: godz. 18.30 (w czasie zimowym godz. 17.00)	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,361/
Parafia pw. św. Wojciecha		Msze św. w niedziele: godz. 7.30, godz. 9.30, godz. 11.15, godz. 18.00	Msze św. w dni powszednie: godz. 7.00, godz. 18.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,107/
Parafia pw. Najświętszego Serca Jezusa	http://www.bojanowopoznanskie.archpoznan.pl	Msze św. w niedziele: 7.00, 9.00, 11.00, 18.00; Golina Wielka: 8.00; Trzebosz: 10.00; Pakówka – DPS: sobota 16.00	Msze św. w dni powszednie: od 01 kwietnia do 30 września o godz. 9.00 i 18.30; od 01 października do 31 marca o godz. 9.00 i 18.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,292/
Parafia pw. Najświętszego Serca Pana Jezusa	http://www.parafia-bolechowo.pl	Msze św. w niedziele: 8:00, 9:30, 11:30; sobota: 16:45	Msze św. w dni powszednie: 18:00 z wyjątkiem środy - Msza św. o 8:00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,44/
Parafia pw. Chrystusa Króla	http://www.parafiabolewice.pl	Msze św. w niedziele: 9:00, 11:00	Msze św. w dni powszednie: 18.00 - za wyjątkiem czwartku - 8.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,153/
Parafia pw. św. Mikołaja		Msze św. w niedziele: 8.00, 11.00; Mikoszki – 9.30	Msze św. w dni powszednie: 18.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,98/
Parafia pw. Pocieszenia NMP		Msze św. niedzielne: Fara: 9:00, 18:00; Sanktuarium: 7.30, 10.00, 11.30	Msze św. w dni powszednie: Fara: 9.00; Sanktuarium: 18.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,7/
Parafia pw. Matki Bożej Królowej Rodzin	http://www.parafiaborowiec.pl	Msze św. w niedziele: 8.00, 10.00, 11.30 - z udziałem dzieci, 19.00	Msze św. w dni powszednie: 19.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,106/
Parafia pw. św. Wojciecha		Msze św. niedzielne: 8:00, 11:00	Msze św. w dni powszednie: pon., wt., czw., pt. i sob. 18:00; śr. 8:00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,152/
Parafia pw. św. Andrzeja Ap.	http://www.parafia-boruszyn.pl	Msze św. niedzielne: 9:00, 10:30, 12:00	Msze św. w dni powszednie: 18:00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,37/
Parafia pw. św. Jadwigi	http://www.brenno.archpoznan.pl	Msze św. w niedziele: 8:30, 10:30, 12:00	Msze św. w dni powszednie: wtorek 7:00, pozostałe dni 18:00Proboszcz: ks. Andrzej SotekKsiądz w parafii: ks. Wiktor Łakomy	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,272/
