Parafia pod wezwaniem MB Szkaplerznej		Abramów	22 Lipca	21-143 Abramów	http://colaska.pl/index/parafia/id/1	22.3152916488037,51.4567754225151
Parafia pod wezwaniem NMP Królowej Aniołów	http://www.adamowice.katowice.opoka.org.pl/	Adamowice	ul. Poprzeczna 15	47-435 Raszyce	http://colaska.pl/index/parafia/id/2	18.2955971,50.5078563
Parafia pod wezwaniem Podwyższenia Krzyża Świętego		Adamów	ul. Kolberga 2 	21-412 Adamów	http://colaska.pl/index/parafia/id/3	 22.263386249542236,51.74361236947513
Parafia pod wezwaniem św.Jana Chrzciciela		Adamów		27-300 Brody Iłżeckie	http://colaska.pl/index/parafia/id/4	,
Parafia pod wezwaniem Narodzenia NMP	http://www.albigowa.parafia.info.pl/	Albigowa	Albigowa 844	37-122 Albigowa	http://colaska.pl/index/parafia/id/6	 22.229000329971313,50.01446141585083
Parafia pod wezwaniem Świętego Maksymiliana Maria Kolbego 	http://www.adiec.czest.niedziela.pl/parafie/p_aleksandria_sw_maksymiliana_kolbego.php	Aleksandria	ul. Gościnna 150	42-274 Konopiska	http://colaska.pl/index/parafia/id/7	18.9555566367493,50.7380719379322
Parafia pod wezwaniem MB Nieustającej Pomocy		Aleksandrów	Aleksandrów 441	23-408 Aleksandrów	http://colaska.pl/index/parafia/id/8	,
Parafia pod wezwaniem Św. Teresy od Dzieciątka Jezus		Aleksandrów	Aleksandrów	27-351 Aleksandrów	http://colaska.pl/index/parafia/id/9	,
Parafia pod wezwaniem NMP	http://www.aleksandrow-ww.salezjanie.pl/	Aleksandrów Kujawski	ul. ks. F. Szczygłowskiego 5	87-700 Aleksandrów Kujawski	http://colaska.pl/index/parafia/id/10	 18.687835335731506,52.87174751047758
Parafia pod wezwaniem Przemienienia Pańskiego		Aleksandrów Kujawski	ul. Kościelna 3	87-700 Aleksandrów Kujawski	http://colaska.pl/index/parafia/id/11	18.694303,52.8786736
Parafia pod wezwaniem św.Archaniołów Rafała i Michał		Aleksandrów Łódzki	ul. Wojska Polskiego 3	95-070 Aleksandrów Łódzki	http://colaska.pl/index/parafia/id/12	19.3041943033447,51.8187828446905
Parafia pod wezwaniem Zesłania Ducha Świętego	http://www.zeslanieduchaswietego.com.pl/	Aleksandrów Łódzki	ul. J. Piłsudskiego 1	95-070 Aleksandrów Łódzki	http://colaska.pl/index/parafia/id/13	19.317491,51.8118356
Parafia pod wezwaniem NSPJ		Aleksandrówka		23-320 Batorz	http://colaska.pl/index/parafia/id/14	,
Parafia pod wezwaniem św.Izydora		Alojzów	Alojzów 8	27-103 Alojzów	http://colaska.pl/index/parafia/id/15	 21.245498657226562,51.22451782406268
Parafia pod wezwaniem Stygmatów św.Franciszka z Asyż	http://www.bernardyni.ofm.pl/klasztor/alwernia/index.htm	Alwernia	ul. Klasztorna 1	32-066 Alwernia	http://colaska.pl/index/parafia/id/16	19.5354085,50.0682165
Parafia pod wezwaniem Nawiedzenia NMP		Amelin	29/7175836	06-212 Amelin	http://colaska.pl/index/parafia/id/17	,
Parafia pod wezwaniem NMP Nieustającej Pomocy	http://archidiecezja.lodz.pl/~andrespol/	Andrespol	ul. Krzywa 8	95-020 Andrespol	http://colaska.pl/index/parafia/id/18	19.6396437,51.7215021
Parafia pod wezwaniem Świętego Macieja Apostoła	http://www.andrychow.bielsko.opoka.org.pl/	Andrychów	Rynek 37	34-120 Andrychów	http://colaska.pl/index/parafia/id/19	19.3423374,49.8534418
Parafia pod wezwaniem Świętego Stanisława Biskupa i Męczennika	http://www.andrychow1.bielsko.opoka.org.pl/	Andrychów	ul. Starowiejska 30	34-120 Andrychów	http://colaska.pl/index/parafia/id/20	19.3504961,49.8628772
Parafia pod wezwaniem Wniebowzięcia NMP		Andrzejewo	ul. Kościelna 14	07-305 Andrzejewo	http://colaska.pl/index/parafia/id/21	22.1985181512298,52.8263379721308
Parafia pod wezwaniem MB Królowej Polski		Andrzejów	Andrzejów 87	23-302 Godziszów	http://colaska.pl/index/parafia/id/22	22.4379359,50.7639497
Parafia pod wezwaniem św.Joachima i Anny	http://www.annopol.sandomierz.opoka.org.pl/	Annopol	ul. T. Kościuszki 1	23-235 Annopol	http://colaska.pl/index/parafia/id/23	21.861632,50.8811926
Parafia pod wezwaniem Zaśnięcia Niepokalanej Bogurodzicy 		Asuny		11-400 Kętrzyn	http://colaska.pl/index/parafia/id/25	,
Parafia pod wezwaniem MB Częstochowskiej		Augustów	ul. Kard. Wyszyńskiego 2a	16-300 Augustów	http://colaska.pl/index/parafia/id/26	23.0046193656311,53.8577543934042
Parafia pod wezwaniem Miłosierdzia Bożego		Augustów	Pl. Ks. B. Szkiłądzia	16-300 Augustów	http://colaska.pl/index/parafia/id/27	22.9951172,53.8426276
Parafia pod wezwaniem NSJ	http://www.augustow-nsj.diecezja.elk.pl/	Augustów	ul. ks. I. Skorupki 6	16-300 Augustów	http://colaska.pl/index/parafia/id/28	22.9804681,53.8422588
Parafia pod wezwaniem św.Jana Chrzciciela		Augustów	Al. Jana Pawła II  14	16-300 Augustów	http://colaska.pl/index/parafia/id/29	,
Parafia pod wezwaniem św.Rodziny		Augustów	ul. Storczykowa 45	16-300 Augustów	http://colaska.pl/index/parafia/id/30	22.981149,53.8357064
Parafia pod wezwaniem Przemienienia Pańskiego	http://www.parafiababiak.cba.pl/	Babiak	Pl. Wolności 20	62-620 Babiak	http://colaska.pl/index/parafia/id/31	 18.65478515625,52.341422376750366
Parafia pod wezwaniem św.Augustyna i Św. Anny 		Babiak	Babiak 17	11-121 Runowo	http://colaska.pl/index/parafia/id/32	,
Parafia pod wezwaniem Dobrego Pasterza		Babica	Babica 407 	38-119 Babica	http://colaska.pl/index/parafia/id/33	21.534143,49.569
Parafia pod wezwaniem Przenajświętszej Trójcy		Babice	Babice 54	37-754 Babice	http://colaska.pl/index/parafia/id/34	 22.47628927230835,49.817950284731566
Parafia pod wezwaniem św.Anny	http://www.sw-anna.babice.gliwice.opoka.org.pl/	Babice	ul. Szkolna 24	47-440 Nędza	http://colaska.pl/index/parafia/id/35	18.3003124594688,50.1367961530429
Parafia pod wezwaniem Świętej Katarzyny Dziewicy i Męczennicy	http://www.diecezja.opole.pl/parafie/?numer=310&sekcja=parafie_search&	Babice	Babice	48-120 Baborów	http://colaska.pl/index/parafia/id/36	,
Parafia pod wezwaniem Wszystkich Świętych		Babice	ul. Kanoniczna 54	32-551 Babice	http://colaska.pl/index/parafia/id/37	19.4515085220337,50.0711334821094
Parafia pod wezwaniem Wniebowzięcia NMP		Babice Stare	Rynek 17	05-082 Babice Stare	http://colaska.pl/index/parafia/id/38	20.8421601,52.2511778
